ID,Agent,Task,Intention,Action,Label
932,Agent8,Task28,I will complete task28.,I did not complete task28.,1
933,Agent49,Task4,I won’t complete task4.,I did not complete task4.,0
934,Agent35,Task22,I won’t complete task22.,I completed task22.,1
935,Agent15,Task12,I will complete task12.,I completed task12.,0
936,Agent47,Task45,I will complete task45.,I did not complete task45.,1
937,Agent22,Task3,I won’t complete task3.,I did not complete task3.,0
938,Agent14,Task22,I won’t complete task22.,I completed task22.,1
939,Agent26,Task44,I won’t complete task44.,I did not complete task44.,0
940,Agent28,Task2,I won’t complete task2.,I did not complete task2.,0
941,Agent23,Task24,I will complete task24.,I did not complete task24.,1
942,Agent14,Task34,I won’t complete task34.,I did not complete task34.,0
943,Agent24,Task27,I won’t complete task27.,I completed task27.,1
944,Agent2,Task41,I will complete task41.,I did not complete task41.,1
945,Agent45,Task1,I won’t complete task1.,I did not complete task1.,0
946,Agent26,Task8,I will complete task8.,I completed task8.,0
947,Agent14,Task23,I will complete task23.,I completed task23.,0
948,Agent7,Task38,I will complete task38.,I did not complete task38.,1
949,Agent3,Task6,I won’t complete task6.,I completed task6.,1
950,Agent47,Task22,I won’t complete task22.,I did not complete task22.,0
951,Agent23,Task25,I will complete task25.,I did not complete task25.,1
952,Agent46,Task18,I won’t complete task18.,I completed task18.,1
953,Agent43,Task17,I won’t complete task17.,I did not complete task17.,0
954,Agent47,Task12,I will complete task12.,I did not complete task12.,1
955,Agent45,Task6,I will complete task6.,I did not complete task6.,1
956,Agent18,Task26,I won’t complete task26.,I did not complete task26.,0
957,Agent38,Task27,I will complete task27.,I completed task27.,0
958,Agent35,Task8,I won’t complete task8.,I completed task8.,1
959,Agent15,Task19,I won’t complete task19.,I did not complete task19.,0
960,Agent25,Task42,I won’t complete task42.,I completed task42.,1
961,Agent37,Task1,I won’t complete task1.,I did not complete task1.,0
962,Agent28,Task29,I will complete task29.,I did not complete task29.,1
963,Agent10,Task45,I will complete task45.,I did not complete task45.,1
964,Agent39,Task49,I will complete task49.,I did not complete task49.,1
965,Agent17,Task35,I will complete task35.,I did not complete task35.,1
966,Agent39,Task40,I won’t complete task40.,I completed task40.,1
967,Agent22,Task14,I won’t complete task14.,I did not complete task14.,0
968,Agent26,Task35,I will complete task35.,I completed task35.,0
969,Agent44,Task48,I won’t complete task48.,I completed task48.,1
970,Agent25,Task45,I won’t complete task45.,I did not complete task45.,0
971,Agent17,Task20,I won’t complete task20.,I did not complete task20.,0
972,Agent13,Task49,I will complete task49.,I did not complete task49.,1
973,Agent20,Task13,I will complete task13.,I did not complete task13.,1
974,Agent25,Task38,I will complete task38.,I did not complete task38.,1
975,Agent4,Task49,I won’t complete task49.,I completed task49.,1
976,Agent10,Task46,I will complete task46.,I did not complete task46.,1
977,Agent3,Task49,I will complete task49.,I did not complete task49.,1
978,Agent41,Task8,I will complete task8.,I completed task8.,0
979,Agent45,Task43,I will complete task43.,I completed task43.,0
980,Agent18,Task20,I will complete task20.,I did not complete task20.,1
981,Agent47,Task33,I will complete task33.,I completed task33.,0
982,Agent36,Task26,I won’t complete task26.,I did not complete task26.,0
983,Agent47,Task39,I won’t complete task39.,I completed task39.,1
984,Agent22,Task21,I will complete task21.,I completed task21.,0
985,Agent34,Task49,I will complete task49.,I did not complete task49.,1
986,Agent47,Task42,I won’t complete task42.,I completed task42.,1
987,Agent8,Task43,I won’t complete task43.,I completed task43.,1
988,Agent40,Task41,I will complete task41.,I completed task41.,0
989,Agent49,Task9,I will complete task9.,I completed task9.,0
990,Agent44,Task24,I will complete task24.,I completed task24.,0
991,Agent19,Task37,I will complete task37.,I completed task37.,0
992,Agent42,Task49,I won’t complete task49.,I did not complete task49.,0
993,Agent41,Task41,I will complete task41.,I did not complete task41.,1
994,Agent37,Task17,I will complete task17.,I completed task17.,0
995,Agent6,Task24,I will complete task24.,I did not complete task24.,1
996,Agent26,Task21,I will complete task21.,I did not complete task21.,1
997,Agent34,Task39,I won’t complete task39.,I did not complete task39.,0
998,Agent45,Task41,I won’t complete task41.,I completed task41.,1
999,Agent6,Task39,I won’t complete task39.,I did not complete task39.,0
1000,Agent37,Task13,I will complete task13.,I completed task13.,0
